Resource Category,Resource Type,Name,Description,visible,verified,tags,metricName,metricNamespace,severity,windowSize,evaluationFrequency,timeAggregation,operator,threshold,criterionType,dimensions,alertSensitivity,failingPeriods,metricMeasureColumn,resouceIdColumn,autoMitigate,references
Devices,IotHubs,dailyMessageQuotaUsed,Number of total messages used today,TRUE,FALSE,"auto-generated, agc-1896",dailyMessageQuotaUsed,Microsoft.Devices/IotHubs,2,PT5M,PT5M,Maximum,GreaterThan,360000.0,StaticThresholdCriterion,,,,,,,
Devices,IotHubs,d2c.telemetry.ingress.sendThrottle,Number of throttling errors due to device throughput throttles,TRUE,FALSE,"auto-generated, agc-574",d2c.telemetry.ingress.sendThrottle,Microsoft.Devices/IotHubs,3,PT1H,PT1H,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
Devices,IotHubs,d2c.telemetry.egress.dropped,The number of times messages were dropped by IoT Hub routing due to dead endpoints. This value does not count messages delivered to fallback route as dropped messages are not delivered there.,TRUE,FALSE,"auto-generated, agc-258",d2c.telemetry.egress.dropped,Microsoft.Devices/IotHubs,1,PT5M,PT5M,Total,GreaterThan,0.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachineScaleSets,Disk Read Operations/Sec,Disk Read IOPS,TRUE,FALSE,"auto-generated, agc-252",Disk Read Operations/Sec,Microsoft.Compute/virtualMachineScaleSets,2,PT5M,PT5M,Average,GreaterOrLessThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,false,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Disk Write Operations/Sec,Disk Write IOPS,TRUE,FALSE,"auto-generated, agc-252",Disk Write Operations/Sec,Microsoft.Compute/virtualMachineScaleSets,2,PT5M,PT5M,Average,GreaterOrLessThan,,DynamicThresholdCriterion,,Low,"{""numberOfEvaluationPeriods"": 4, ""minFailingPeriodsToAlert"": 4}",,,false,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Percentage CPU,The percentage of allocated compute units that are currently in use by the Virtual Machine(s),TRUE,FALSE,"auto-generated, agc-11764, hpc, agc-9755",Percentage CPU,Microsoft.Compute/virtualMachineScaleSets,3,PT5M,PT1M,Average,GreaterThan,90.0,StaticThresholdCriterion,,,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,OS Disk IOPS Consumed Percentage,Percentage of operating system disk I/Os consumed per minute,TRUE,FALSE,"auto-generated, agc-3207",OS Disk IOPS Consumed Percentage,Microsoft.Compute/virtualMachineScaleSets,3,PT1H,PT30M,Average,GreaterThan,95.0,StaticThresholdCriterion,,,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Data Disk IOPS Consumed Percentage,Percentage of data disk I/Os consumed per minute,TRUE,FALSE,"auto-generated, agc-3044",Data Disk IOPS Consumed Percentage,Microsoft.Compute/virtualMachineScaleSets,3,PT1H,PT30M,Average,GreaterThan,95.0,StaticThresholdCriterion,,,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Outbound Flows,Outbound Flows are number of current flows in the outbound direction (traffic going out of the VM),TRUE,FALSE,"auto-generated, agc-2457",Outbound Flows,Microsoft.Compute/virtualMachineScaleSets,3,PT15M,PT15M,Average,GreaterThan,100000.0,StaticThresholdCriterion,,,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Inbound Flows,Inbound Flows are number of current flows in the inbound direction (traffic going into the VM),TRUE,FALSE,"auto-generated, agc-2446",Inbound Flows,Microsoft.Compute/virtualMachineScaleSets,3,PT15M,PT15M,Average,GreaterThan,100000.0,StaticThresholdCriterion,,,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Available Memory Bytes,"Amount of physical memory, in bytes, immediately available for allocation to a process or for system use in the Virtual Machine",TRUE,FALSE,"auto-generated, agc-1543, hpc, agc-1740",Available Memory Bytes,Microsoft.Compute/virtualMachineScaleSets,2,PT5M,PT1M,Average,LessThan,1000000000.0,StaticThresholdCriterion,,,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,VmAvailabilityMetric,Measure of Availability of Virtual machines over time.,TRUE,FALSE,"auto-generated, agc-492",VmAvailabilityMetric,Microsoft.Compute/virtualMachineScaleSets,2,PT5M,PT1M,Average,LessThan,1.0,StaticThresholdCriterion,,,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Network In Total,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),TRUE,FALSE,"auto-generated, agc-469",Network In Total,Microsoft.Compute/virtualMachineScaleSets,3,PT15M,PT5M,Average,GreaterThan,700000000.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""VMName"", ""values"": [""*""]}]",,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Network Out Total,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),TRUE,FALSE,"auto-generated, agc-462",Network Out Total,Microsoft.Compute/virtualMachineScaleSets,3,PT15M,PT5M,Average,GreaterThan,700000000.0,StaticThresholdCriterion,"[{""operator"": ""Include"", ""name"": ""VMName"", ""values"": [""*""]}]",,,,,,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachinescalesets-metrics
Compute,virtualMachineScaleSets,Network In,The number of billable bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic) (Deprecated),TRUE,FALSE,"auto-generated, agc-422, hpc, agc-258",Network In,Microsoft.Compute/virtualMachineScaleSets,2,PT5M,PT1M,Average,LessThan,1.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Percentage CPU,The percentage of allocated compute units that are currently in use by the Virtual Machine(s),TRUE,TRUE,,Percentage CPU,Microsoft.Compute/virtualMachines,3,PT5M,PT5M,Average,GreaterThan,80,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Data Disk IOPS Consumed Percentage,Percentage of data disk I/Os consumed per minute. Only available on VM series that support premium storage.,TRUE,TRUE,,Data Disk IOPS Consumed Percentage,Microsoft.Compute/virtualMachines,2,PT1M,PT1M,Average,GreaterThan,95.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,OS Disk IOPS Consumed Percentage,Percentage of operating system disk I/Os consumed per minute. Only available on VM series that support premium storage.,TRUE,TRUE,,OS Disk IOPS Consumed Percentage,Microsoft.Compute/virtualMachines,2,PT1M,PT1M,Average,GreaterThan,95.0,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Available Memory Bytes,"Amount of physical memory, in bytes, immediately available for allocation to a process or for system use in the Virtual Machine",TRUE,TRUE,"auto-generated, agc-130712, hpc",Available Memory Bytes,Microsoft.Compute/virtualMachines,3,PT5M,PT5M,Average,LessThan,1000000000,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Network In Total,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),TRUE,TRUE,,Network In Total,Microsoft.Compute/virtualMachines,3,PT5M,PT5M,Total,GreaterThan,500000000000,StaticThresholdCriterion,,,,,,,
Compute,virtualMachines,Network Out Total,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),TRUE,TRUE,,Network Out Total,Microsoft.Compute/virtualMachines,3,PT5M,PT5M,Total,GreaterThan,200000000000,StaticThresholdCriterion,,,,,,,
